Code,Days,Treatment,Conditions_Explained
F1D20B1,20,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B2,20,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B3,20,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B4,20,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20B5,20,Fecal_AB_CD_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection
F1D20T1,20,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T2,20,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T3,20,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F1D20T4,20,Fecal_CD_D20,Fecal_inoculation_C.difficile_infection
F2D20D1,20,Fecal_AB_CD_Mix_13_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-13_Treatment
F2D20D2,20,Fecal_AB_CD_Mix_13_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-13_Treatment
F2D20D3,20,Fecal_AB_CD_Mix_13_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-13_Treatment
F2D20D4,20,Fecal_AB_CD_Mix_13_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-13_Treatment
F2D20D5,20,Fecal_AB_CD_Mix_13_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-13_Treatment
F2D20T1,20,Fecal_AB_CD_Mix_3_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-3_Treatment
F2D20T2,20,Fecal_AB_CD_Mix_3_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-3_Treatment
F2D20T3,20,Fecal_AB_CD_Mix_3_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-3_Treatment
F2D20T4,20,Fecal_AB_CD_Mix_3_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-3_Treatment
F1D20D1,20,Fecal_AB_CD_Mix_4_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-4_Treatment
F1D20D2,20,Fecal_AB_CD_Mix_4_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-4_Treatment
F1D20D3,20,Fecal_AB_CD_Mix_4_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-4_Treatment
F1D20D4,20,Fecal_AB_CD_Mix_4_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-4_Treatment
F1D20D5,20,Fecal_AB_CD_Mix_4_D20,Fecal_inoculation_Antibiotic _Treatment_C.difficile_infection_Mix-4_Treatment
