Hour,Blautia obeum_1,Blautia obeum_2,Blautia obeum_3,Fusicatenibacter saccharivorans_1,Fusicatenibacter saccharivorans_2,Fusicatenibacter saccharivorans_3,Roseburia faecis_1,Roseburia faecis_2,Roseburia faecis_3,Bacteroides caccae_1,Bacteroides caccae_2,Bacteroides caccae_3,Bacteroides dorei_1,Bacteroides dorei_2,Bacteroides dorei_3,Bacteroides ovatus_1,Bacteroides ovatus_2,Bacteroides ovatus_3,Bacteroides thetaiotaomicron_1,Bacteroides thetaiotaomicron_2,Bacteroides thetaiotaomicron_3,Bacteroides uniformis_1,Bacteroides uniformis_2,Bacteroides uniformis_3,Parabacteroides distanis_1,Parabacteroides distanis_2,Parabacteroides distanis_3,Parabacteroides merdae_1,Parabacteroides merdae_2,Parabacteroides merdae_3,Bacteroides vulgatus_1,Bacteroides vulgatus_2,Bacteroides vulgatus_3,Bifidobacterium longum_1,Bifidobacterium longum_2,Bifidobacterium longum_3,Collinsella aerofaciens_1,Collinsella aerofaciens_2,Collinsella aerofaciens_3,Escherichia coli_1,Escherichia coli_2,Escherichia coli_3,Clostridium difficile R20291_1,Clostridium difficile R20291_2,Clostridium difficile R20291_3
0,0.016,0.012,0.024,0.009,0.01,0.008,0.021,0.017,0.023,0.007,0.012,0.01,0.004,0.003,0.003,0.011,0.01,0.012,0.018,0.017,0.021,0.011,0.009,0.013,0.008,0.012,0.01,0.008,0.015,0.013,0.009,0.009,0.006,0.016,0.023,0.018,0.01,0.008,0.01,0.006,0.007,0.014,0.005,0.009,0.006
2,0.005666667,0.005666667,0.017666667,0.009666667,0.004666667,0.001666667,0.012666667,0.009666667,0.013666667,0.008666667,0.018666667,0.010666667,-0.002333333,0.004666667,0.001666667,0.019666667,0.014666667,0.019666667,0.022666667,0.021666667,0.023666667,0.017666667,0.015666667,0.015666667,0.006666667,0.018666667,0.015666667,0.005666667,0.011666667,0.008666667,0.006666667,0.008666667,0.005666667,0.022666667,0.024666667,0.025666667,0.005666667,0.009666667,0.011666667,0.055666667,0.070666667,0.094666667,0.053666667,0.073666667,0.060666667
5,-0.017333333,-0.007333333,0.003666667,-0.009333333,-0.009333333,-0.009333333,-0.000333333,-0.003333333,0.003666667,0.010666667,0.026666667,0.013666667,-0.021333333,-0.008333333,-0.011333333,0.021666667,0.018666667,0.023666667,0.029666667,0.029666667,0.031666667,0.028666667,0.021666667,0.024666667,-0.001333333,0.019666667,0.016666667,-0.005333333,0.007666667,0.005666667,0.000666667,0.003666667,0.000666667,0.013666667,0.024666667,0.024666667,-0.015333333,-0.006333333,-0.001333333,0.510666667,0.496666667,0.494666667,0.469666667,0.485666667,0.487666667
7,-0.013333333,-0.011333333,0.000666667,-0.009333333,-0.008333333,-0.006333333,0.002666667,0.004666667,0.005666667,0.030666667,0.050666667,0.029666667,-0.013333333,-0.002333333,-0.005333333,0.051666667,0.047666667,0.068666667,0.069666667,0.070666667,0.071666667,0.059666667,0.048666667,0.049666667,0.027666667,0.051666667,0.044666667,0.004666667,0.037666667,0.025666667,0.006666667,0.011666667,0.006666667,0.015666667,0.022666667,0.017666667,-0.003333333,-0.000333333,0.003666667,0.673666667,0.670666667,0.665666667,0.663666667,0.661666667,0.668666667
12,-0.006,0.011,0.019,0.007,0.005,0.007,0.02,0.021,0.038,0.161,0.16,0.117,0.015,0.011,0.008,0.162,0.146,0.205,0.178,0.215,0.227,0.178,0.131,0.152,0.147,0.155,0.157,0.029,0.13,0.089,0.019,0.05,0.016,0.025,0.03,0.018,0.02,0.009,0.015,0.801,0.797,0.779,0.796,0.798,0.807
19,0.029,0.026,0.036,0.029,0.041,0.029,0.041,0.042,0.044,0.38,0.396,0.366,0.038,0.04,0.038,0.445,0.4,0.467,0.471,0.428,0.452,0.409,0.395,0.436,0.423,0.424,0.388,0.177,0.347,0.276,0.047,0.106,0.041,0.049,0.054,0.048,0.037,0.038,0.038,0.836,0.83,0.805,0.833,0.821,0.831
22,-0.043666667,-0.019666667,0.014333333,0.020333333,0.023333333,0.018333333,0.026333333,0.017333333,0.031333333,0.424333333,0.421333333,0.316333333,0.042333333,0.052333333,0.014333333,0.445333333,0.447333333,0.489333333,0.550333333,0.417333333,0.526333333,0.536333333,0.478333333,0.512333333,0.568333333,0.566333333,0.537333333,0.225333333,0.444333333,0.353333333,0.020333333,0.012333333,0.012333333,0.011333333,0.026333333,0.086333333,0.039333333,0.001333333,0.005333333,0.770333333,0.758333333,0.730333333,0.760333333,0.750333333,0.760333333
24,0.016666667,0.003666667,0.014666667,0.002666667,0.002666667,0.004666667,0.018666667,0.017666667,0.020666667,0.429666667,0.429666667,0.407666667,0.364666667,0.492666667,0.446666667,0.489666667,0.500666667,0.502666667,0.605666667,0.559666667,0.569666667,0.577666667,0.586666667,0.594666667,0.647666667,0.662666667,0.634666667,0.263666667,0.509666667,0.438666667,0.020666667,0.019666667,0.019666667,0.032666667,0.034666667,0.103666667,0.006666667,0.015666667,0.019666667,0.770666667,0.765666667,0.744666667,0.758666667,0.759666667,0.769666667
26,0.006666667,0.001666667,0.010666667,0.001666667,0.001666667,0.002666667,0.018666667,0.016666667,0.020666667,0.439666667,0.433666667,0.416666667,0.400666667,0.520666667,0.478666667,0.473666667,0.483666667,0.472666667,0.665666667,0.579666667,0.611666667,0.616666667,0.626666667,0.616666667,0.686666667,0.694666667,0.678666667,0.535666667,0.569666667,0.514666667,0.019666667,0.019666667,0.019666667,0.029666667,0.034666667,0.040666667,0.006666667,0.017666667,0.023666667,0.794666667,0.766666667,0.741666667,0.747666667,0.764666667,0.767666667
28,0.011,0.006,0.013,0.005,0.005,0.005,0.022,0.02,0.024,0.453,0.447,0.498,0.505,0.532,0.524,0.464,0.485,0.476,0.714,0.643,0.648,0.638,0.655,0.621,0.713,0.715,0.712,0.71,0.647,0.591,0.026,0.021,0.021,0.025,0.036,0.026,0.002,0.022,0.022,0.788,0.789,0.739,0.745,0.744,0.763
