#NAME,D16B1,D16B2,D16B3,D16B4,D16B5,D16C1,D16C2,D16C3,D16C4,D16C5,D16T1,D16T2,D16T3,D16T4,D23B1,D23B2,D23B3,D23B4,D23B5,D23C1,D23C2,D23C3,D23C4,D23C5,D23T1,D23T2,D23T3,D23T4,D8B1,D8B2,D8B3,D8B4,D8B5,D8C1,D8C2,D8C3,D8C4,D8C5,D8T1,D8T2,D8T3,D8T4,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20C1,F1D20C2,F1D20C3,F1D20C4,F1D20C5,F1D20T1,F1D20T2,F1D20T3,F1D20T4
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",29428,18388,27877,26956,14556,467,23769,15026,18654,27850,14968,7267,10523,9619,23391,21243,24545,19545,12760,222,15053,17465,20823,20572,18500,15316,12959,11501,18150,6359,916,17723,15673,2062,15700,19616,15302,21533,12047,8583,2603,8902,3657,12188,13836,10627,7823,187,3889,5656,12885,8110,16027,11185,4764,3785
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",254,77,1010,170,345,153,79,73,78,986,18412,20252,21354,23493,111,13,51,64,37,25,17,50,22,56,22218,15469,15351,17525,34799,35952,14795,25851,20767,31461,30531,33354,31330,1188,31160,30588,34185,27563,81,103,93,362,145,49,57,227,105,193,16986,8402,15825,21223
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",19237,38,16897,5083,25314,13576,15848,15650,16960,16240,3423,3939,606,35,6176,528,13097,7664,2568,280,1895,510,170,8900,2202,1180,3641,5,1781,308,1567,1149,2246,353,94,167,112,1376,2449,1529,341,52,3118,44,14295,8937,8525,884,3254,2133,865,10127,3815,3784,3106,15
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",390,651,1360,445,201,114,119,120,94,639,2396,697,10428,1196,2131,3793,1324,111,322,1637,4668,1336,12308,300,565,1305,8005,1589,7024,4204,5340,6385,4278,1293,1880,1619,1172,3408,1733,2390,13005,1211,3334,4599,364,2872,178,496,7888,1442,4265,257,1908,979,8290,1822
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",855,4760,20,18,256,4740,2867,2145,4276,276,1459,3434,643,567,355,11846,10,8,26,2925,3693,198,3570,22,618,344,767,700,619,675,152,318,967,831,856,1236,775,3246,972,269,660,950,96,9443,11,22,123,4120,6062,402,5553,94,818,405,411,1196
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae",0,2,0,1,0,15355,0,0,0,0,1,1,0,0,0,0,0,1,0,12038,0,0,0,0,0,0,0,0,0,0,0,1,0,16508,1,0,0,0,1,0,1,0,0,0,0,0,0,2449,1,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",378,19781,1195,29939,461,8925,28,238,16,168,110,774,87,3,16832,10883,25642,23071,10137,8652,10619,9326,12724,17711,5295,1843,3985,947,0,140,510,252,81,16,9,7,3,2,1,31,20,1,6022,11397,25260,24408,13840,6849,14510,14163,18817,15603,2729,884,840,11
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Roseburia",1,1,0,4,4,0,5,0,3,131,259,170,49,490,5,0,1051,0,0,0,0,0,0,1,1213,1670,56,4250,233,562,10181,276,48,37,194,166,88,9061,287,83,42,191,1,4,404,3,0,1,1,1,2,7,1378,499,10,1466
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Ruminococcus2",99,10,105,7,87,145,41,28,57,62,1219,5,268,3698,4038,585,138,7,35,11206,7459,12244,8,18,63,44,130,1592,2951,485,2946,407,8642,6476,1627,1308,2319,846,3424,127,2494,2616,47,14,80,35,87,15309,44,882,44,19,162,0,320,4134
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,109,0,0,0,0,0,1,0,6782,3,0,1,0,0,4,0,0,0,0,0,0,0,3679,0,0,0,0,1,4818,0,1,1,0,0,0,0,7538,15,0,0,0,0,13,0,0,0,0,0,1,0,3073,1
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",0,0,2,6,5,0,4,17,2,1,1,0,15,2537,0,1,0,0,0,0,0,1,0,0,0,2,9,7663,4,9,3,0,51,10,141,411,23,0,14,1,31,3934,0,0,0,0,3,0,1,71,3,0,0,0,11,3179
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Lactococcus",11,0,0,0,72,0,0,0,3,264,0,0,3333,1,5,0,0,0,9,0,0,0,0,27,0,0,4059,1,65,0,0,0,67,13,0,0,60,5432,0,0,1835,0,3,0,0,0,21,0,0,0,6,96,0,0,1975,2
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",2,0,1018,1,0,3,0,1,1,11,0,0,1,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,81,5267,0,0,8,0,2,0,3,1,0,0,4,0,0,49,0,0,0,0,0,3,1,0,0,0,2
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",5,3814,5223,80,2423,1288,6608,6454,4819,919,0,1,0,0,709,716,485,337,364,715,316,2201,1677,260,0,0,0,1,6,157,8606,5,0,150,6,23,10,48,12,1,4,35,94,2866,1425,267,1027,1420,3113,3301,2455,604,1,0,0,3
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Dialister",3005,5516,1786,2139,2616,2711,1692,2431,1568,2617,921,108,295,316,2622,1042,3792,3240,1159,869,1506,970,1408,2864,459,109,402,26,1131,397,1246,438,500,1082,427,561,340,1813,578,373,278,97,152,815,921,738,649,234,714,596,456,822,799,192,149,24
"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Sutterellaceae,g:Sutterella",388,1051,571,139,239,405,322,391,314,283,368,491,482,522,1014,1515,594,726,391,638,713,972,994,269,976,355,333,781,1006,1172,5771,271,725,426,675,918,599,1064,938,1013,1900,1156,99,900,668,410,609,597,1248,974,1359,190,743,242,385,589
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",4,0,126,2,1,0,4,0,5,23,2,3461,17,42,0,0,9,0,0,1,3,0,0,7,15,525,18,31,35,16,347,109,8,63,220,32,124,1584,3,589,3,28,0,0,16,3,3,0,4,4,6,6,6,1117,22,36
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",11,2,0,0,2,0,2,0,14,46,0,2,2,15,1312,157,1,3,112,0,182,19,51,72,5,2,1,3,1,1,3,0,0,0,0,0,0,22,0,0,1,3,406,2595,0,5,183,81,368,175,1999,85,6,1,2,7
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Fusicatenibacter",5,7,10,3,8,2,2,2,1,14,138,249,19,39,684,11,0,10,3340,67,2,3,122,0,23,5,5,50,70,53,14,14,58,80,12,10,44,46,35,9,6,38,60,25,9,29,2446,11,9,42,161,9,48,52,7,35
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus",12,1324,3,6,22,2302,233,57,3181,309,0,17,20,1661,5,741,0,34,440,1561,70,456,633,535,0,4,14,1268,0,64,1,10,1,80,146,238,224,15,0,4,11,1416,8,1359,1,39,542,1420,257,1407,3003,1134,0,39,32,1874
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Catenibacterium",1080,6,1129,74,987,200,347,2971,182,728,1,10,5,0,113,49,58,83,21,2,1,193,11,43,0,0,1,1,5,6,8,0,0,22,1,10,3,17,21,4,16,7,26,23,499,96,207,13,12,309,34,307,1,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",3,11,0,12,13,991,0,0,16,66,38,159,931,1195,16,206,0,5,4,1599,3,876,10,0,0,11,17,346,421,672,35,1764,1187,2195,746,7,662,21,0,1698,1498,391,1,160,0,14,12,1899,4,152,16,1,0,13,367,333
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Veillonella",2,6,6,0,7,146,24,390,287,7,0,0,13,4,28,236,0,35,179,3162,53,1358,1046,18,1,0,3,2,8,24,189,5,60,6,75,261,34,11,0,28,151,27,2,24,1,8,50,303,28,270,177,6,0,0,2,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",2,21,0,0,0,179,1,1,234,0,12,2,8,12,38,2261,3,0,5,519,128,131,510,0,8,1,4,468,8,1,7,0,3,0,7,5,8,0,0,0,0,27,2,1037,0,0,0,212,148,190,736,0,8,0,4,162
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",37,10,215,33,34,18,5,7,12,195,1073,1161,253,173,1391,0,12,199,7,1,82,0,3,125,1415,155,957,239,581,103,2151,947,59,53,74,689,134,1028,766,109,89,116,6,3,57,148,30,2,28,48,22,66,947,183,350,313
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",1,0,1,10,4,3,1,0,3,6,166,74,1140,2092,0,0,0,1,0,184,2,0,43,0,109,15,88,1226,27,275,21,351,156,499,260,18,755,140,9,279,410,860,0,0,1,10,1,24,0,0,14,0,105,19,293,1710
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",194,540,1583,98,257,188,146,127,432,589,5,0,3,11,40,47,268,103,20,33,21,61,24,345,2,0,0,3,0,6,28,5,2,2,0,2,2,3,3,2,0,13,48,158,617,159,74,31,81,142,56,534,2,0,6,8
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Coprobacillus",10,0,0,0,0,1431,5,0,12,1,0,0,0,0,6,10,0,0,0,859,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1200,0,2,2,1,0,0,0,0
