#NAME,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20D1,F1D20D2,F1D20D3,F1D20D4,F1D20D5,F1D20T1,F1D20T2,F1D20T3,F1D20T4,F2D20D1,F2D20D2,F2D20D3,F2D20D4,F2D20D5,F2D20T1,F2D20T2,F2D20T3,F2D20T4
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",3428,11689,13234,10133,7540,5324,6188,6243,3551,5809,15383,10746,4576,3630,6382,137,21,740,1215,5373,10192,23839,26316
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,0,0,0,1,1946,1,0,0,0,0,0,42,0,1,0,17575,0,0,1
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",3026,42,14171,8847,8541,1997,7304,268,636,7787,3739,3702,3043,15,8471,8365,8890,4930,7521,111,5719,9043,4266
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",77,98,91,335,137,53,71,15,33,51,16085,7903,14987,20077,3,2,11,7,2,3,1,12,2
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Lactococcus",4,0,0,0,21,150,27,1,21,1,0,0,2062,2,265,10346,1963,626,4245,857,7636,5351,1891
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",6029,11314,25160,24324,13754,17055,9705,11015,12110,13795,2733,901,854,11,14006,802,24670,11590,3335,13892,3856,221,5779
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",90,9287,9,20,120,594,655,11387,3616,169,794,364,412,1007,113,1,94,677,31,1717,2,31,1
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",3172,4452,341,2768,164,171,1365,6091,3447,539,1846,932,7928,1737,82,10,201,38,25,2524,19,6,17
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,10000,822,4831,6780,13,111,5,22
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,9,0,0,0,0,0,1,0,2976,1,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Ruminococcus2",45,13,77,34,83,218,84,14,9,2,148,0,311,3915,5,3,7,10,4,1,0,2,1
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",92,2825,1400,261,997,6000,1331,824,1543,205,1,0,0,3,240,8,96,449,712,1249,121,38,893
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae_1,g:Bacillus",0,0,0,0,0,511,2745,927,3445,3040,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",0,0,0,0,3,0,0,0,0,0,0,0,11,3118,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",401,2579,0,5,181,36,323,20,0,45,6,1,2,7,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Klebsiella",0,0,0,0,0,0,0,1,54,1,0,0,0,0,1,0,5436,0,12,4,0,0,2
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Fusicatenibacter",59,25,9,28,2428,1,62,4,6,2,47,52,7,35,2,1,1,0,1,0,3,0,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Clostridium_XVIII",68,185,0,2,0,548,4,2304,1445,0,17,3,1,20,210,0,9,230,38,311,0,9,0
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Dialister",146,790,895,711,630,393,835,722,414,386,778,185,144,24,438,149,454,1030,1359,305,541,1433,1489
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus",8,1331,1,35,538,927,263,1097,499,255,0,39,32,1834,182,1,63,976,254,635,12,55,530
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,1,10,1,7,108,3,128,4,101,18,288,1665,14,0,0,73,0,146,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",1,3,392,5,0,1,1,0,0,12,1325,483,9,1399,0,0,1,0,0,0,0,4,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",0,2,15,3,3,2,3,3,0,1,6,1090,19,35,0,0,0,0,0,47,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",0,43,1,30,7,63,2355,1,6,303,1261,12,18,82,74,15,77,0,11,7,0,4,17
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",6,3,57,140,30,46,28,9,4,58,910,177,331,301,10,7,34,3,22,3,0,6,3
"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Sutterellaceae,g:Sutterella",100,882,655,407,593,1610,453,1229,972,361,726,237,375,580,312,108,1356,393,244,412,110,74,44
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",71,1000,53,1095,292,454,705,940,141,858,18,10,4,15,0,0,0,0,0,23,0,2,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",1,161,0,13,13,323,7,21,156,1,23,13,355,327,12,0,57,940,0,1383,0,1,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",2,1026,0,0,0,1020,11,288,287,0,8,0,4,160,63,0,80,71,13,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Intestinimonas",0,0,1,0,0,10,3,0,0,0,675,5,0,6,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",1,16,0,19,58,542,1,403,406,116,0,6,36,141,97,0,0,670,50,78,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",143,482,9,437,366,403,622,675,366,194,87,48,186,249,33,0,33,225,0,28,0,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",49,161,617,158,73,148,95,113,82,108,2,0,6,8,111,688,44,54,782,22,32,81,34
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,0,0,0,1,4,0,0,0,9,2,3,6,0,0,1,0,0,783,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",105,44,5,46,2,159,251,91,15,3,342,252,483,909,0,0,0,0,2,0,0,2,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",23,0,588,116,112,128,540,58,0,68,347,115,176,117,0,0,16,0,1,0,0,1,1
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus",1,5,2,2,0,3,0,0,3,13,32,66,55,582,1,0,0,3,1,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Catenibacterium",26,23,500,97,209,82,137,7,65,257,1,0,0,0,202,154,130,26,259,5,37,326,173
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,4,0,0,0,1,0,0,0,505,95,147,105,0,0,0,0,1,0,0,1,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiracea_incertae_sedis",0,1,21,2,1,3,101,12,0,113,109,597,47,55,3,0,0,0,15,0,0,5,15
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Veillonella",2,29,1,9,65,36,26,0,8,8,0,0,4,0,51,4,9,120,808,86,0,1,36
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Collinsella",0,0,0,5,2,0,2,2,1,1,100,39,385,304,0,0,0,0,1,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Finegoldia",24,196,131,347,129,66,332,446,48,98,0,1,1,9,3,7,176,53,9,12,0,6,2
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",17,357,2,119,98,158,125,93,50,83,10,428,39,60,23,0,0,39,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",91,24,0,11,0,63,46,153,138,6,1,0,0,17,1,0,154,485,11,5,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,4,0,0,0,0,2,0,0,248,6,2,36,0,0,0,0,0,0,0,0,0
