#NAME,F1D20A1,F1D20A2,F1D20A3,F1D20A4,F1D20A5,F1D20B1,F1D20B2,F1D20B3,F1D20B4,F1D20B5,F1D20T1,F1D20T2,F1D20T3,F1D20T4,F2D20A1,F2D20A2,F2D20A3,F2D20A4,F2D20A5,F2D20B1,F2D20B2,F2D20B3,F2D20B4,F2D20B5,F2D20C1,F2D20C2,F2D20C3,F2D20C4,F2D20C5
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Escherichia/Shigella",14740,14390,7554,5322,8061,3503,11876,13452,10264,7636,15608,10914,4633,3680,766,9902,14903,20031,6786,9909,16654,22204,19560,613,12820,8168,7256,475,7258
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",16234,7846,9188,1514,6789,3092,45,14366,8942,8625,3793,3760,3097,14,4916,7678,3152,4920,14593,3999,8124,7744,6201,5813,15234,6683,1484,3891,4017
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",6,2,3,67,62,77,98,91,335,137,16081,7901,14988,20077,0,4,53,2,11,2,0,0,2,3,12,36,8,2,5
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Lactococcus",0,0,0,0,0,4,0,0,0,22,0,0,2049,2,4,11289,2455,240,3325,966,203,626,8,4958,3123,5666,20,16,153
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",25,30,38,6961,9,94,9239,9,22,118,786,386,401,1118,13,22,11,11,1,496,1030,411,67,0,1,2,11943,3818,63
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prevotellaceae,g:Prevotella",4245,12685,14264,8415,14458,6089,11414,25362,24522,13884,2750,921,864,11,15128,7398,14463,20368,15122,22622,16235,19307,15992,9659,5116,16714,2423,13286,16431
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",239,48,2646,7924,480,3161,4446,339,2758,163,1827,928,7933,1734,16,108,596,54,183,27,74,0,2,3,55,96,38,108,1495
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,1,0,0,0,0,1,9,1,105,18,292,1687,2,8,3,0,1,0,1,0,0,0,0,0,3194,6086,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Clostridium_XVIII",3,280,0,182,1,70,188,0,2,0,17,3,1,20,24,3,62,94,0,9,318,26,0,0,4,54,5506,910,1214
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1,0,1,2,0,1,0,4178,0,0,1,0,365,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus",119,1120,16,1072,17,8,1304,1,18,550,0,39,32,1863,2234,4881,10,6,0,1131,80,719,296,206,538,0,1064,152,1
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Dialister",2120,1878,1313,521,509,151,801,913,732,643,790,189,143,25,2661,1617,2891,4471,1400,1209,2348,4072,2720,1176,2326,3175,798,910,649
"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacteriales,f:Enterobacteriaceae,g:Klebsiella",0,0,0,93,0,0,0,0,0,0,0,0,0,0,8681,0,0,0,0,303,13,1087,48,2,2,561,0,10059,90
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,0,0,0,0,0,9,1,0,2976,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Ruminococcus2",106,51,7,21,59,45,13,77,34,83,148,0,311,3912,0,12,37,4,7,2,2,0,0,0,2,3,1,3,7
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",1,1,1,0,0,0,0,0,0,3,0,0,11,3118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Flavonifractor",0,797,0,601,5,401,2586,0,5,179,6,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Fusicatenibacter",4,4,10,12,26,59,25,9,28,2428,47,52,7,35,1,1,4,0,0,1,4,0,0,0,1,1,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",2977,341,633,342,445,72,1015,54,1122,291,19,10,4,15,79,4,28,112,0,0,0,0,0,0,0,104,0,53,145
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",99,349,177,2071,293,94,2804,1392,259,992,1,0,0,3,3,68,71,18,22,1122,138,1271,262,844,10,316,570,1,11
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Veillonella",133,39,1,343,5,1,25,2,7,64,0,0,2,0,807,2,32,533,0,142,723,1726,0,0,0,26,842,90,1
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,0,7,1,0,1,162,0,12,13,0,13,352,327,2,2,26,0,1,0,0,0,0,1,0,0,2443,2200,0
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Catenibacterium",1600,33,232,215,356,28,23,510,102,216,1,0,0,0,2,34,101,139,855,55,74,1,5,20,670,190,37,66,128
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Roseburia",1,170,0,2,0,1,3,393,5,0,1326,484,9,1398,0,1,3,5,2,0,0,2,0,0,1,0,0,0,1
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",5,0,2,1,4,0,2,15,3,3,7,1090,19,35,103,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",4,8,17,5,12,0,42,1,27,7,1245,11,18,80,0,2,97,4,16,0,10,0,0,0,6,10,1,11,30
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Dorea",51,7,18,59,11,6,3,57,141,30,910,177,333,302,7,7,100,6,10,1,21,0,0,0,14,22,7,11,1
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",964,98,105,108,50,48,160,618,159,73,2,0,6,9,19,42,36,51,300,197,67,160,98,80,116,118,18,36,148
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",1,0,0,71,0,0,97,0,0,0,3,3,12,93,4,0,1,4,0,0,0,0,0,0,0,0,765,1010,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",0,5,0,282,0,2,1019,0,0,0,8,0,4,154,0,0,0,0,0,0,0,0,0,0,0,0,26,637,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",1,0,0,0,0,0,0,1,0,0,674,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus",52,3,0,0,6,0,0,0,3,10,0,0,0,0,0,0,0,0,6,618,2,1,0,2,0,1,4,0,1
"d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Sutterellaceae,g:Sutterella",634,229,173,843,399,96,885,654,404,594,728,237,382,575,683,59,356,391,149,1200,257,165,540,270,71,102,462,512,358
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiales_Incertae_Sedis_XI,g:Finegoldia",15,68,317,98,547,24,191,128,349,127,0,1,1,9,42,3,29,14,11,0,0,0,0,0,2,9,1,14,1
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Oscillibacter",0,0,1,70,269,103,44,5,43,2,336,250,480,903,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Faecalibacterium",0,5,71,90,44,23,0,586,115,111,337,114,177,117,0,0,0,0,0,0,0,0,0,0,4,6,0,8,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus",0,4,0,0,0,1,5,2,2,0,32,66,55,584,0,0,109,1,1,0,0,0,0,0,0,1,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,4,0,0,505,95,147,105,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Lachnospiracea_incertae_sedis",0,0,9,0,3,0,1,20,2,1,108,597,46,53,0,0,0,0,0,0,24,0,0,0,32,37,7,4,3
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Coriobacteriales,f:Coriobacteriaceae,g:Collinsella",1,0,1,0,0,0,0,0,5,2,100,39,385,304,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Anaerostipes",53,4,0,10,3,89,24,0,11,0,1,0,0,17,17,11,20,0,0,0,0,0,0,0,0,0,256,568,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",297,37,71,475,55,80,740,2,429,367,29,426,138,191,57,3,8,12,0,0,0,0,0,0,0,3,0,450,3
"d:Bacteria,p:Firmicutes,c:Erysipelotrichia,o:Erysipelotrichales,f:Erysipelotrichaceae,g:Coprobacillus",0,0,2,2,1,0,3,0,0,0,0,0,0,0,431,1,16,0,0,7,8,0,0,0,0,0,1,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,0,0,0,0,0,4,0,0,246,6,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",0,0,0,0,0,0,314,1,54,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",338,13,58,42,70,42,15,48,0,0,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus",1,0,0,0,0,0,4,0,1,0,207,76,45,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Enterococcaceae,g:Enterococcus",220,14,23,0,3,25,307,0,116,0,0,0,2,1,571,0,4,22,0,261,16,148,41,0,0,0,218,24,15
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",2,0,1,3,3,0,3,0,3,0,419,83,339,299,4,1,0,0,0,8,187,67,0,1,0,0,246,150,0
"d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Streptococcaceae,g:Streptococcus",0,0,0,0,0,0,1,1,1,0,8,0,0,0,10,0,0,0,1,1,0,79,0,0,1,2,3,0,1
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Clostridium_XlVa",23,2,0,164,0,1,16,0,18,58,0,6,35,140,121,3,45,0,0,0,0,0,0,0,0,0,70,82,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae",0,0,0,0,0,0,0,1,5,0,226,18,66,117,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Clostridiaceae_1,g:Clostridium_sensu_stricto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",1,2,0,2,0,0,0,0,1,0,11,12,14,40,2,5,3,1,1,0,27,109,6,0,1,0,11,107,10
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Peptoniphilaceae,g:Peptoniphilus",0,0,29,2,0,0,10,13,57,8,11,6,1,29,11,0,15,5,4,1,0,0,11,0,62,29,11,29,6
"d:Bacteria,p:Firmicutes,c:Negativicutes,o:Selenomonadales,f:Veillonellaceae,g:Allisonella",67,8,7,2,3,0,3,37,33,3,27,3,3,0,22,5,10,23,33,14,30,114,38,11,53,27,10,1,16
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,0,5,3,1,6,1,10,1,56,2,21,24,10,0,31,0,2,47,9,1,9,0,0,2,25,111,9
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",21,17,5,5,0,4,15,2,9,31,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,13
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",0,0,0,0,0,0,0,1,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Porphyromonadaceae,g:Parabacteroides",0,0,0,3,0,0,1,0,0,0,8,1,4,13,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0
"d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Bifidobacteriales,f:Bifidobacteriaceae,g:Bifidobacterium",85,61,28,3,63,9,21,106,99,77,0,0,2,9,106,11,75,21,28,38,124,246,73,84,45,73,92,115,24
"d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Bacteroidaceae,g:Bacteroides",2,0,0,0,1,0,0,0,0,0,8,2,2,1,0,0,0,1,0,0,4,0,0,0,2,0,33,21,0
"d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae",0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
