Species,Code,Conditions_Explained,Day,Replicate,Abundance,Relative_Abundance,Sum
Bacteroides caccae,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,8989,0.168915364,53216
Bacteroides dorei,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,2,3.75827E-05,53216
Bacteroides ovatus,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Bacteroides thetaiotaomicron,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,460,0.008644017,53216
Bacteroides uniformis,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Bacteroides vulgatus,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Bifidobacterium longum,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,679,0.012759321,53216
Blautia obeum,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,22764,0.427766085,53216
Collinsella aerofaciens,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,3090,0.058065244,53216
Escherichia coli,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,17232,0.323812387,53216
Fusicatenibacter saccharivorans,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Parabacteroides distasonis,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Parabacteroides merdae,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Roseburia faecis,AAD14B1_S19_L001,Mix-14_C.difficile,14,1,0,0,53216
Bacteroides caccae,AAD14B2_S20_L001,Mix-14_C.difficile,14,2,10204,0.163803898,62294
Bacteroides dorei,AAD14B2_S20_L001,Mix-14_C.difficile,14,2,6,9.63175E-05,62294
Bacteroides ovatus,AAD14B2_S20_L001,Mix-14_C.difficile,14,2,0,0,62294
Bacteroides thetaiotaomicron,AAD14B2_S20_L001,Mix-14_C.difficile,14,2,459,0.007368286,62294
Bacteroides uniformis,AAD14B2_S20_L001,Mix-14_C.difficile,14,2,0,0,62294
