Species,D10A1,D10A2,D10A3,D10A4,D10A5,D10A6,D10B1,D10B2,D10B3,D10B4,D10B5,D10B6,D10T1,D10T2,D10T3,D10T4,D10T5,D10T6,D11A1,D11A2,D11A3,D11A4,D11A5,D11A6,D11B1,D11B2,D11B3,D11B4,D11B5,D11B6,D11T1,D11T2,D11T3,D11T4,D11T5,D11T6,D12A1,D12A2,D12A3,D12A4,D12A5,D12A6,D12B1,D12B2,D12B3,D12B4,D12B5,D12B6,D12T1,D12T2,D12T3,D12T4,D12T5,D12T6,D13A1,D13A2,D13A3,D13A4,D13A5,D13A6,D13B1,D13B2,D13B3,D13B4,D13B5,D13B6,D13T1,D13T2,D13T3,D13T4,D13T5,D13T6,D14A1,D14A2,D14A3,D14A4,D14A5,D14A6,D14B1,D14B2,D14B3,D14B4,D14B5,D14B6,D14T1,D14T2,D14T3,D14T4,D14T5,D14T6,D15A1,D15A2,D15A3,D15A4,D15A5,D15A6,D15B1,D15B2,D15B3,D15B4,D15B5,D15B6,D15T1,D15T2,D15T3,D15T4,D15T5,D15T6,D16A1,D16A2,D16A3,D16A4,D16A5,D16A6,D16B1,D16B2,D16B3,D16B4,D16B5,D16B6,D16T1,D16T2,D16T3,D16T4,D16T5,D16T6,D17A1,D17A2,D17A3,D17A4,D17A5,D17A6,D17B1,D17B2,D17B3,D17B4,D17B5,D17B6,D17T1,D17T2,D17T3,D17T4,D17T5,D17T6,D18A1,D18A2,D18A3,D18A4,D18A5,D18A6,D18B1,D18B2,D18B3,D18B4,D18B5,D18B6,D18T1,D18T2,D18T3,D18T4,D18T5,D18T6,D19A1,D19A2,D19A3,D19A4,D19A5,D19A6,D19B1,D19B2,D19B3,D19B4,D19B5,D19B6,D19T1,D19T2,D19T3,D19T4,D19T5,D19T6,D20A1,D20A2,D20A3,D20A4,D20A5,D20A6,D20B1,D20B2,D20B3,D20B4,D20B5,D20B6,D20T1,D20T2,D20T3,D20T4,D20T5,D20T6,D21A1,D21A2,D21A3,D21A4,D21A5,D21A6,D21B1,D21B2,D21B3,D21B4,D21B5,D21B6,D21T1,D21T2,D21T3,D21T4,D21T5,D21T6,D22A1,D22A2,D22A3,D22A4,D22A5,D22A6,D22B1,D22B2,D22B3,D22B4,D22B5,D22B6,D22T1,D22T2,D22T3,D22T4,D22T5,D22T6,D23A1,D23A2,D23A3,D23A4,D23A5,D23A6,D23B1,D23B2,D23B3,D23B4,D23B5,D23B6,D23T1,D23T2,D23T3,D23T4,D23T5,D23T6,D2A1,D2A2,D2A3,D2A4,D2A5,D2A6,D2B1,D2B2,D2B3,D2B4,D2B5,D2B6,D2T1,D2T2,D2T3,D2T4,D2T5,D2T6,D3A1,D3A2,D3A3,D3A4,D3A5,D3A6,D3B1,D3B2,D3B3,D3B4,D3B5,D3B6,D3T1,D3T2,D3T3,D3T4,D3T5,D3T6,D4A1,D4A2,D4A3,D4A4,D4A5,D4A6,D4B1,D4B2,D4B3,D4B4,D4B5,D4B6,D4T1,D4T2,D4T3,D4T4,D4T5,D4T6,D5A1,D5A2,D5A3,D5A4,D5A5,D5A6,D5B1,D5B2,D5B3,D5B4,D5B5,D5B6,D5T1,D5T2,D5T3,D5T4,D5T5,D5T6,D6A1,D6A2,D6A3,D6A4,D6A5,D6A6,D6B1,D6B2,D6B3,D6B4,D6B5,D6B6,D6T1,D6T2,D6T3,D6T4,D6T5,D6T6,D7A1,D7A2,D7A3,D7A4,D7A5,D7A6,D7B1,D7B2,D7B3,D7B4,D7B5,D7B6,D7T1,D7T2,D7T3,D7T4,D7T5,D7T6,D8A1,D8A2,D8A3,D8A4,D8A5,D8A6,D8B1,D8B2,D8B3,D8B4,D8B5,D8B6,D8T1,D8T2,D8T3,D8T4,D8T5,D8T6,D9A1,D9A2,D9A3,D9A4,D9A5,D9A6,D9B1,D9B2,D9B3,D9B4,D9B5,D9B6,D9T1,D9T2,D9T3,D9T4,D9T5,D9T6,Inoculum
Bacteroides caccae,42,85,14,292,241,157,36084,27864,51116,42290,32072,34355,35878,31353,37103,34534,34520,45491,26,69,35,93,333,210,38182,25574,27303,30845,36535,33276,24350,25266,30092,25077,32530,29359,27,92,42,487,493,457,44642,38980,30993,61347,65463,45316,43596,38930,69483,61366,60061,41005,226,62,65,127,222,102,21255,10071,18563,19180,32720,12530,20486,9850,21160,27569,24551,17272,80,87,70,81,166,50,30427,18134,27413,33121,36060,21627,25066,19670,27146,24149,22128,28442,59,206,47,69,508,59,35438,22615,38894,43097,51180,26173,34477,33205,14557,43876,33976,45346,163,54,93,28,114,22,25236,13646,20262,25388,31323,18900,24359,20107,34006,29118,24801,28042,68,60,67,12,45,16,23600,9783,16958,20121,22654,14839,26016,23619,26357,22858,19544,27012,79,85,103,26,130,36,25248,14638,18778,26851,32131,24636,28244,25121,38334,31935,21934,35643,128,93,58,25,118,21,22167,14108,18939,27120,21088,17156,20139,20570,26542,24527,21510,30720,273,167,272,77,330,127,27894,28416,23794,37297,43220,22305,30727,35849,39151,36477,30647,40789,227,63,114,39,297,59,26045,17724,21307,27046,16174,10808,23857,19478,18913,18075,19519,23825,538,116,160,65,392,67,21496,14121,15430,21947,19400,10082,21301,23511,19486,21955,21742,32470,289,103,147,181,448,68,25998,24361,25129,34345,32165,7243,29564,31123,25123,35404,28225,39972,648,584,768,659,764,537,412,421,760,631,383,457,559,737,740,521,515,669,21,18,17,13,58,12,29,12,16,26,17,5,87,28,153,54,38,17,13,186,98,16,608,279,42,8,112,280,13,6,60,33,172,43,65,82,25,89,202,28,1018,170,134,10,112,134,20,7,172,58,68,43,81,89,39,126,65,67,621,152,205,16,252,205,29,167,346,54,108,149,591,214,18,43,255,161,3660,23,80,14,246,214,31,230,2238,16,39,179,1816,109,83,101,74,466,2432,457,419,80,358,120,129,789,5605,63,32,270,3903,255,49,83,61,44,406,114,6691,120,9496,1047,13858,10069,11175,2166,307,631,18292,13057,5547
Bacteroides dorei,0,2,0,2,0,1,5,23,13,221,2,57,3,60,537,197,0,5,1,1,1,0,1,0,16,90,19,79,3,253,3,121,558,83,0,13,0,2,1,0,1,7,9,182,13,69,3,776,7,80,676,148,0,1,51,3,2,2,2,7,13,311,56,99,19,854,9,26,735,78,0,5,13,6,0,1,0,6,38,1088,377,235,29,2264,15,72,875,110,2,3,17,10,2,1,1,6,184,3404,3627,256,87,3936,71,94,324,276,5,33,45,5,2,0,0,12,236,2297,3213,137,87,1880,62,42,500,186,1,67,8,1,0,2,0,6,321,2884,2580,69,26,2000,53,70,160,153,6,49,23,2,4,2,0,17,454,4012,2294,152,10,2001,45,44,70,91,6,24,19,5,1,2,0,7,778,4926,3501,274,20,4924,51,53,70,75,6,28,113,20,9,0,1,19,3425,10374,7995,1297,79,4348,267,324,152,301,15,10,70,5,6,0,0,11,5535,6215,9048,1613,67,1086,434,67,617,966,22,5,222,15,9,1,7,30,6013,6910,5775,1307,31,375,2316,73,2649,1542,45,17,148,16,5,3,1,30,6460,11658,10569,1551,60,172,640,89,2815,1970,97,4,1235,635,1175,929,671,565,164,386,589,726,466,357,130,315,319,297,165,152,37,10,15,14,28,5,14,6,15,23,17,1,3,7,4,10,8,2,2,0,3,0,2,0,0,0,0,5,2,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,3,1,1,0,1,0,0,2,0,1,2,2,5,4,3,2,0,0,3,1,0,0,0,2,0,0,3,13,0,3,3,4,8,15,0,1,11217
Bacteroides ovatus,0,0,0,0,0,0,3,3,0,2,0,0,1,15,6,1,1,29,1,0,0,0,0,0,33,5,0,3,0,0,0,34,7,2,0,50,0,0,0,0,0,0,48,22,0,4,0,2,15,173,24,3,6,188,0,0,0,0,1,3,6,7,1,0,1,0,23,92,7,4,4,485,0,0,0,0,0,0,27,4,0,0,1,0,16,128,5,2,4,315,0,0,0,0,0,0,17,1,2,0,0,0,13,76,2,2,3,290,0,0,0,0,0,0,2,0,0,0,0,0,11,60,0,0,0,207,0,0,0,0,0,0,2,0,0,0,0,0,7,22,1,0,0,67,0,0,0,0,0,0,3,0,0,0,0,0,1,23,0,0,0,39,0,0,0,0,0,0,2,0,0,0,0,0,3,5,1,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,5,5,0,1,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,519,536,691,453,686,548,489,489,802,805,628,642,761,911,948,750,737,694,25,10,17,12,26,9,33,11,15,29,27,18,32,39,38,24,34,30,1,2,3,1,8,3,1,3,1,4,3,0,4,2,3,8,3,4,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,7,3852
Bacteroides thetaiotaomicron,1273,1233,2914,3602,4827,1563,4972,12049,5361,3653,2701,2929,3608,6810,4822,3104,2696,5267,1458,1282,2738,1698,5546,1146,10499,6508,5015,2084,1734,4208,1868,7120,2920,1477,2747,9320,2188,3217,5574,7472,10067,2499,18484,22084,18208,8996,4541,17662,14052,30954,13577,5753,12108,35725,2174,1092,2292,4136,7027,902,4815,12420,7067,2875,3635,9570,6470,14121,6205,4862,8762,10399,899,1107,3119,2209,6902,606,4950,14423,11367,4412,3879,11152,3692,8322,4560,3898,5850,5102,1789,2316,3528,2355,6622,601,5317,14523,11319,7770,7796,16400,5378,10864,1419,7905,8123,3047,796,1111,2029,2089,4611,382,3805,9183,6439,4591,7019,8385,3888,6078,5335,7014,8684,2044,394,942,1132,875,3410,212,3283,4736,4143,2616,4591,4663,3495,5464,4047,4043,6416,1814,344,875,2813,2112,6375,736,3861,4745,5496,3399,6408,11930,4191,6613,4286,6541,8725,2558,222,851,1315,1672,4130,318,3920,4778,5145,3649,5493,5819,2963,5100,3154,3513,7316,2587,739,1764,2409,2191,7261,410,5841,9919,7411,5135,11049,14337,4308,8193,4501,4895,9354,3199,316,822,1560,1299,3893,213,5258,5804,6853,3666,5184,14860,2992,3994,3319,2729,7501,1593,1045,1101,2460,2336,4596,434,4451,4195,5414,3763,5719,24265,3219,4705,2842,3071,7029,2015,475,1612,2299,2672,4575,604,4613,6875,7400,5281,10576,26813,3239,6116,3359,4142,9498,1705,2062,2087,2989,2179,2847,2174,2812,2834,3335,3322,2606,3566,5050,6393,7807,4234,5010,4423,81,167,173,62,273,97,424,204,134,220,289,414,918,894,1199,307,1138,672,332,332,522,186,294,1390,505,1709,2118,1972,304,2240,1910,2337,1559,2468,1630,2976,899,313,375,153,508,1748,1187,269,472,631,442,678,795,549,5385,4008,390,2154,474,366,302,178,946,1718,921,390,440,433,398,369,473,552,1315,1490,701,1878,256,367,1497,455,1736,483,532,138,574,252,144,635,824,351,465,618,775,638,1353,734,4258,1090,1754,1659,1900,1296,2090,638,471,2483,3240,876,423,548,2105,961,1817,424,2545,186,3171,746,11300,11571,9495,10084,5268,8634,4323,5423,5719,2765,4429,3295,7151
Bacteroides uniformis,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,2,1,2,2,3,2,2,2,1,2,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,1,3,3,0,8,4,5,1,3,3,5,2,4,3,3,1,1,1,0,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,64,0,0,0,0,0,0,4,0,0,0,2,70,0,0,0,0,0,90,0,0,0,2,0,0,10,0,0,0,0,28,0,0,0,0,0,40,0,0,0,1,0,0,17,0,0,0,8,63,0,0,0,0,0,71,0,0,0,0,0,0,252,0,0,0,14,68,0,0,0,0,0,57,0,0,0,2,0,0,18,13,33,11,26,17,13,15,14,9,7,16,8,16,17,13,6,11,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,1,0,0,1,2907
Bacteroides vulgatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium longum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,4,10,8,3,9,13,15,1,6,1,8,5,8,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817
Blautia obeum,59,531,656,221,99,40,1,7,8,8,3,14,27,3,15,7,4,17,26,105,101,166,151,23,4,2,3,1,4,3,2,1,12,6,1,8,99,202,295,449,2041,57,3,0,0,0,1,4,36,11,8,22,3,8,45,116,80,633,853,76,3,1,5,2,4,3,5,6,5,9,5,6,24,183,85,275,471,41,0,0,0,0,4,0,0,2,2,1,1,5,40,367,80,293,434,31,0,1,0,0,1,0,3,0,0,2,2,0,39,218,90,177,257,62,0,0,2,0,0,0,0,0,0,6,0,2,97,276,106,210,228,51,1,0,3,0,0,0,0,0,1,2,1,0,55,408,213,353,338,68,0,0,0,0,0,0,0,0,0,0,4,0,52,284,115,277,216,29,0,0,1,0,1,0,0,0,0,0,0,0,95,396,223,336,383,78,0,0,0,0,0,0,1,0,1,0,2,1,65,363,123,334,210,46,0,0,0,0,0,1,0,0,0,0,0,0,78,519,110,432,315,21,0,0,0,0,0,0,0,0,0,0,0,0,42,616,141,420,258,99,0,0,1,0,0,0,0,0,0,0,0,0,9743,8988,10726,8030,11074,5343,7898,7400,7606,10027,7669,10216,16022,8875,11113,14600,12262,10913,23793,19065,20652,16528,21558,14951,11803,12172,14110,13934,19938,19350,14022,16197,12171,13360,10025,7302,5823,5676,7143,1997,16935,8085,637,2324,1885,1913,2172,6623,1292,1310,5408,1958,1376,951,888,1317,1238,320,975,1059,2067,317,784,642,1180,1504,765,324,383,1115,208,684,930,1355,161,60,139,742,793,90,278,437,584,1188,90,77,950,1252,87,315,108,125,215,57,124,115,145,51,52,57,148,281,76,26,103,93,154,38,95,169,401,104,70,79,124,131,200,35,61,136,6794,56,101,86,94,84,13,488,170,35,85,45,28,14,46,27,9,35,969,19,28,26,26,16,10562
Collinsella aerofaciens,306,367,267,97,144,685,25,49,135,57,47,45,115,75,95,99,211,159,97,166,106,53,130,726,66,24,157,57,24,19,80,12,50,94,122,118,632,571,507,787,1003,3782,82,56,70,25,32,31,57,40,73,157,378,190,292,163,252,431,585,809,12,11,39,6,16,8,15,4,13,43,65,43,198,99,216,126,232,376,8,3,22,0,3,6,6,3,1,15,30,22,837,769,680,552,932,4086,17,17,26,3,1,8,3,0,0,24,26,10,267,190,287,300,286,344,4,0,6,1,0,14,5,0,5,4,15,6,3039,540,202,284,413,358,1,2,3,0,2,1112,2,2,1,4,3,4,3823,982,631,1055,1302,925,4,2,6,0,266,1749,0,0,0,4,5,2,640,847,410,773,1005,999,1,0,3,0,1513,2190,3,0,1,0,3,3,3650,1283,754,552,1990,1471,5,1,1,0,4266,4770,0,2,6,1,5,1,2017,492,551,508,1494,701,2,0,0,3,4274,2523,0,0,0,2,7,0,715,395,307,469,2127,550,2,0,1,0,2125,1157,0,0,0,0,2,1,2663,1347,577,622,3576,1956,4,2,4,0,7440,1889,2,0,0,0,1,0,110,114,66,54,121,104,448,106,84,284,136,180,102,111,31,111,318,115,75,100,562,262,646,562,1103,362,339,1041,1429,795,563,652,919,662,1014,329,10449,6332,5651,3508,2479,9331,336,8338,7810,7383,6033,9854,2571,4553,5004,5481,2603,2027,828,330,898,220,654,973,1421,493,729,1011,799,842,515,588,2053,1097,376,385,513,584,772,290,492,1498,1502,429,473,603,630,567,835,615,382,1020,1111,1259,186,308,698,77,750,853,1964,231,815,377,310,269,248,214,405,501,1120,979,657,513,944,212,723,3000,6704,943,2967,205,282,835,914,876,512,869,2671,2942,464,311,564,9,362,3942,718,486,505,445,193,166,147,182,157,493,475,348,4686
Escherichia coli,25033,23607,29622,37249,21416,25293,30336,24793,19809,16449,10541,15089,14044,13031,12050,20438,23803,19101,22206,22191,20122,33834,34813,13576,16252,11023,12986,12028,21696,14866,11663,8204,9827,12479,17272,14031,44926,42356,39640,54962,47056,45811,23776,22282,15398,19035,18808,35193,29123,16174,18397,30552,26729,16452,29640,25304,24959,23864,28996,26666,18234,21354,15804,16340,17262,17909,21023,23109,15484,19289,20943,22341,35615,30531,33531,36170,29666,35333,37348,28771,29994,34198,27594,31097,34539,26017,32130,30906,29795,26640,38661,43314,46587,65497,42224,63522,44155,54190,44857,46533,34127,43985,50320,44283,11431,39954,44485,53298,34139,29727,35554,47083,33565,46702,32313,30353,28210,29200,33475,32573,33232,27129,30850,30606,32684,35042,34756,22306,25346,29268,24861,32962,30550,33196,31006,39756,26833,29285,37743,36283,32580,31790,31094,34796,44349,31070,45743,38412,33818,38509,35829,33856,39066,33811,36905,42267,37046,44230,32092,45047,36512,33751,29297,26414,29297,25265,28849,30150,32574,29224,30320,38228,33977,40273,29220,29514,25558,41860,31729,32730,45413,41320,50830,65595,46843,42083,49812,55559,51107,57084,53306,50307,52885,51472,62910,59431,46835,50526,38779,25383,29872,43128,26670,23114,43168,36633,42706,44230,24000,31596,34902,27090,25373,29100,32390,29847,34028,33599,39320,34104,37538,32084,38519,29113,34346,30253,29890,41999,45086,32289,30369,32022,31985,41563,47817,52969,45837,48481,39590,52721,47751,51496,55529,48902,51520,49959,51937,45463,41708,51195,44378,51273,32054,25948,35317,30220,30598,21635,23794,27952,29188,29883,23936,26242,28458,24544,28753,27582,33259,33069,32816,23113,24830,20658,30530,15772,16967,19952,16845,18826,23454,21190,18461,23566,21419,17061,25374,20284,36981,22372,26124,24207,22851,24995,6542,23366,24738,21972,24017,27600,23262,13247,24282,24716,20863,22773,22409,30656,21098,28215,18361,27748,39485,20076,19912,17256,23633,21160,36968,12263,20904,22007,32148,23319,29563,31456,26437,35517,21053,26333,37618,26953,30736,22355,25763,26180,22198,21250,29717,30441,32629,28045,13057,14737,22273,15354,23257,37022,32322,13788,28039,30874,18496,21784,27965,19971,22680,20710,25223,25339,43087,51748,42047,40226,39115,51804,39686,50498,44812,52127,38369,36425,48611,53937,37560,38661,44279,45803,17381,25067,23665,16357,27175,20517,24148,31548,21154,24854,21979,21586,15092,24361,31627,35953,25401,21519,10846
