Condition,SRR,s__Bacteroides_caccae,s__Bacteroides_ovatus,s__Bacteroides_thetaiotaomicron,s__Bacteroides_uniformis,s__Bifidobacterium_longum,s__Blautia_obeum,s__Collinsella_aerofaciens,s__Escherichia_coli,s__Fusicatenibacter_saccharivorans,s__Parabacteroides_distasonis,s__Parabacteroides_merdae,s__Phocaeicola_dorei,s__Phocaeicola_vulgatus,s__Roseburia_faecis
AB,SRR2582252,3.33146136,1.690636064,7.980954706,12.95861311,0.238310341,0.009278476,0.120620193,0.423879868,0.017580271,0.151874008,1.799536076,0.159199121,14.9901111,0.109876694
AB,SRR2582253,0.040074347,2.363403025,13.95964046,13.82761639,0.567924788,0.084328226,0.17406526,0.086295065,0.049416832,1.978640127,0.874505832,1.497256259,14.81496961,0.268719391
AB,SRR2582255,4.285564118,10.13010326,3.796362931,1.161145297,0.009703164,0.009703164,0.000808597,0.003234388,0,5.517057354,0.021023522,0.551463156,5.91731287,0
AB,SRR2582257,24.78549979,0.407550408,1.147576148,25.2084674,1.449217074,0.020779708,0.603281853,2.595452595,0.060998498,1.354702917,0.907604033,1.941897254,3.322072072,0.00201094
AB,SRR2582258,0.036451839,1.094917864,0.457521684,1.64339881,0.797171065,0.144104,0.805006507,1.261506176,0.380189277,5.013320252,1.354509467,10.27090189,1.387895264,0.020440284
CDI,SRR6329419,0.14739685,2.0085383,0.02896358,0.03332796,0.00330634,0.00727396,0.00085965,0.00145479,0.00813361,0.00747234,0.00436438,0.00297571,0.226683,0.00542241
CDI,SRR6329423,0.00324801,0.00895569,0.01510484,0.01699689,0.00479319,0.00044148,0,0.26797697,0.00063068,0.00116676,0.00015767,0.000094602,0.00949177,0.0001892
CDI,SRR6329424,0.00236644,0.00709931,0.00112861,0.01223267,0.00047329,0.0054246,0.00036407,7.25477147,0.00273051,0.00182034,0.00040047,0.00036407,0.02446533,0.00236644
CDI,SRR6329427,0.00010637,0.00015956,0.00032503,0.00033094,5.9097E-06,0.00011228,0,2.55622599,0.000023639,0.000070916,0.000041368,0.000035458,0.00040186,0.000065007
CDI,SRR6329431,0.08734589,0.00045503,0.00126169,0.00119964,0.00487438,0.01383028,0.00034472,0.44039041,0.02513719,0.00098591,0.00056535,0.00019304,0.00315077,0.02920492
CDI,SRR6329436,0.2484794,0.02183966,0.54997089,0.04699553,0.00525857,0.0100434,0.54821803,0.13610702,0.02108166,0.08697963,0.02681398,0.00857479,0.33479578,0.13582277
CDI,SRR6329439,0.03777755,0.00616506,0.00166556,0.00555187,0.01468344,0.00095293,0.0004226,0.00033145,0.00123467,0.00154955,0.00077063,0.0008535,0.01569438,0.00275936
CDI,SRR6329441,0.00025321,0.00026678,0.00173632,0.00023061,0.25143653,0.00295265,0.00035269,7.39394874,0.00085007,0.00110781,0.000090433,0.00057877,0.00070086,0.00212971
CDI,SRR15123484,2.77230549,0.03058252,0.0089199,0.04154126,0.09582523,0.01987864,0.02854369,82.7759244,0.08563106,0.00713592,0.00025485,0.00331311,0.13456309,0.08792475
CDI,SRR15123489,1.83341624,0.21087439,0.10298517,0.17724658,0.21087439,0.08967416,0.25781321,30.9789196,0.43225748,0.01261043,0.01331101,0.06865678,0.43576037,0.2038686
CDI,SRR15123494,0.00386727,0.00659337,0.04051121,0.01052404,0.00215553,0.00272611,0.00234572,1.4417935,0.00557901,0.00329669,0.00126796,0.00025359,0.07290751,0.00450125
CDI,SRR15123499,0.13749505,0.06605889,17.2475309,0.04073686,0.30112688,0.06811203,0.02581088,1.64909333,0.05403337,0.1466527,0.01541483,0.01463268,0.05732491,0.17751495
CDI,SRR15123505,0.00676146,0.02459124,0.00094871,0.00293649,0.01909473,0.02502795,0.00197272,0.50061922,0.01433611,0.00061742,0.000075295,0.00034636,0.00894501,0.03433437
CDI,SRR15123511,0.64678447,0.17445379,0.07239239,0.24447266,0.1530921,0.10799521,0.05221746,21.3996653,0.09256732,0.04153662,0.02373521,0.01661465,0.76783404,0.09968788
CDI,SRR15123519,4.68891174,0.44137043,0.02804,0.10800594,0.1557778,0.04257926,0.0446563,10.6250844,0.18589484,0.02077037,0.00311556,0.00726963,0.33440301,0.20874225
CDI,SRR15123529,1.31619601,0.06179324,0.07260706,0.18383489,0.02162763,0.1297658,0.03862077,2.84403386,0.08805537,0.04016561,0.00617932,0.01390348,0.44800099,0.04634493
CDI,SRR15123539,0.21412888,0.09906103,0.12352428,0.03020153,0.10812149,0.0274834,0.1002691,6.95813161,0.02838944,4.15120096,0.00815441,0.01359069,0.13711497,0.02808743
CDI,SRR13060009,0.01338532,0.397921777,0.252735362,0.002705047,0.935573237,0.257399237,0.015857174,0.032647122,0.030921488,0.255393771,0.001212607,0.009794137,0.237111383,0.045192944
CDI,SRR13060010,0.039107941,2.239988379,5.846010292,0.104595408,0.001466844,0.017105288,0.005607128,3.880108726,0.01093035,0.03281471,0.01093035,0.084840338,10.62427678,0.064162575
