pathway,total_hit_count,Description,SRR_Number
fos,894,Healthy,ERR2198611
fos,1175,Healthy,ERR2198612
fos,1016,Healthy,ERR2198613
fos,994,Healthy,ERR2198614
fos,103,FMT,ERR2198615
fos,849,FMT,ERR2198616
fos,340,FMT,ERR2198617
fos,205,FMT,ERR2198618
fos,413,FMT,ERR2198619
fos,129,FMT,ERR2198620
fos,1141,FMT,ERR2198621
fos,878,Healthy,ERR3607252
fos,628,Healthy,ERR3607253
fos,1371,Healthy,ERR3607254
fos,848,Healthy,ERR3607255
fos,1348,Healthy,ERR3607256
fos,1138,Healthy,ERR3607257
fos,1531,Healthy,ERR3607258
fos,732,Healthy,ERR3607259
fos,1291,Healthy,ERR3607260
fos,1571,Healthy,ERR3607261
fos,1072,Healthy,ERR3607262
fos,444,Healthy,ERR3607263
fos,1261,Healthy,ERR3607264
fos,1146,Healthy,ERR3607265
fos,1192,Healthy,ERR3607266
fos,1333,Healthy,ERR3607267
fos,1401,Healthy,ERR3607268
fos,752,Healthy,ERR3607269
fos,993,Healthy,ERR3607270
fos,495,Healthy,ERR3607271
fos,914,Healthy,ERR3607272
fos,922,Healthy,ERR3607273
fos,1373,Healthy,ERR3607274
fos,893,Healthy,ERR3607275
fos,1315,Healthy,ERR3607276
fos,1238,Healthy,ERR3607277
fos,857,Healthy,ERR3607278
fos,1446,Healthy,ERR3607279
fos,1248,Healthy,ERR3607280
fos,874,Healthy,ERR3607281
fos,1079,Healthy,ERR3607282
fos,1612,Healthy,ERR3607283
fos,1126,Healthy,ERR3607284
fos,806,Healthy,ERR3607285
fos,803,Healthy,ERR3607286
fos,1358,Healthy,ERR3607287
fos,958,Healthy,ERR3607288
fos,835,Healthy,ERR4290678
fos,582,FMT,ERR4290679
fos,504,Healthy,ERR4290680
fos,1408,Healthy,ERR4290681
fos,282,CDI,ERR4290682
fos,360,CDI,ERR4290683
fos,288,FMT,ERR4290684
fos,205,CDI,ERR4290868
fos,665,FMT,ERR4290869
fos,409,FMT,ERR4291114
fos,158,CDI,ERR4291146
fos,615,Healthy,ERR4291147
fos,437,FMT,ERR4291148
fos,550,FMT,ERR4291154
fos,103,CDI,ERR4291155
fos,475,FMT,ERR4291161
fos,344,FMT,ERR4291162
fos,479,Healthy,ERR4291163
fos,742,Healthy,ERR4291164
