pathway,total_hit_count,Description,SRR_Number
stickland,461,Healthy,ERR2198611
stickland,312,Healthy,ERR2198612
stickland,319,Healthy,ERR2198613
stickland,325,Healthy,ERR2198614
stickland,55,FMT,ERR2198615
stickland,468,FMT,ERR2198616
stickland,193,FMT,ERR2198617
stickland,110,FMT,ERR2198618
stickland,125,FMT,ERR2198619
stickland,41,FMT,ERR2198620
stickland,376,FMT,ERR2198621
stickland,240,Healthy,ERR3607252
stickland,114,Healthy,ERR3607253
stickland,387,Healthy,ERR3607254
stickland,329,Healthy,ERR3607255
stickland,517,Healthy,ERR3607256
stickland,345,Healthy,ERR3607257
stickland,384,Healthy,ERR3607258
stickland,150,Healthy,ERR3607259
stickland,271,Healthy,ERR3607260
stickland,342,Healthy,ERR3607261
stickland,317,Healthy,ERR3607262
stickland,151,Healthy,ERR3607263
stickland,341,Healthy,ERR3607264
stickland,390,Healthy,ERR3607265
stickland,316,Healthy,ERR3607266
stickland,327,Healthy,ERR3607267
stickland,306,Healthy,ERR3607268
stickland,242,Healthy,ERR3607269
stickland,234,Healthy,ERR3607270
stickland,181,Healthy,ERR3607271
stickland,172,Healthy,ERR3607272
stickland,336,Healthy,ERR3607273
stickland,259,Healthy,ERR3607274
stickland,193,Healthy,ERR3607275
stickland,234,Healthy,ERR3607276
stickland,292,Healthy,ERR3607277
stickland,230,Healthy,ERR3607278
stickland,442,Healthy,ERR3607279
stickland,274,Healthy,ERR3607280
stickland,172,Healthy,ERR3607281
stickland,305,Healthy,ERR3607282
stickland,396,Healthy,ERR3607283
stickland,344,Healthy,ERR3607284
stickland,277,Healthy,ERR3607285
stickland,189,Healthy,ERR3607286
stickland,494,Healthy,ERR3607287
stickland,237,Healthy,ERR3607288
stickland,217,Healthy,ERR4290678
stickland,196,FMT,ERR4290679
stickland,123,Healthy,ERR4290680
stickland,486,Healthy,ERR4290681
stickland,79,CDI,ERR4290682
stickland,112,CDI,ERR4290683
stickland,95,FMT,ERR4290684
stickland,89,CDI,ERR4290868
stickland,224,FMT,ERR4290869
stickland,93,FMT,ERR4291114
stickland,139,CDI,ERR4291146
stickland,127,Healthy,ERR4291147
stickland,184,FMT,ERR4291148
stickland,220,FMT,ERR4291154
stickland,38,CDI,ERR4291155
stickland,137,FMT,ERR4291161
stickland,130,FMT,ERR4291162
stickland,152,Healthy,ERR4291163
stickland,338,Healthy,ERR4291164
stickland,139,CDI,ERR4291165
stickland,39,CDI,ERR4291166
stickland,64,CDI,ERR4291167
stickland,247,FMT,ERR4291168
stickland,237,Healthy,ERR4291171
stickland,228,FMT,ERR4291172
stickland,241,Healthy,ERR4291953
stickland,221,FMT,ERR4291954
stickland,41,CDI,SRR10084755
stickland,63,CDI,SRR10084756
stickland,168,CDI,SRR10084757
stickland,153,CDI,SRR10084758
stickland,96,CDI,SRR10084759
stickland,201,Healthy,SRR10084760
stickland,108,Healthy,SRR10084761
stickland,218,Healthy,SRR10084762
stickland,1,Healthy,SRR10084763
stickland,32,Healthy,SRR10084764
stickland,230,Healthy,SRR10084765
stickland,62,Healthy,SRR10084766
stickland,17,Healthy,SRR10084767
stickland,6,Healthy,SRR10084768
stickland,95,Healthy,SRR10084769
stickland,247,Healthy,SRR10084770
stickland,294,Healthy,SRR10084771
stickland,2,Diarrhoea,SRR10084772
stickland,110,Diarrhoea,SRR10084773
stickland,165,CDI,SRR10084774
stickland,207,Diarrhoea,SRR10084775
stickland,65,Healthy,SRR10084776
stickland,236,Diarrhoea,SRR10084777
stickland,192,Diarrhoea,SRR10084778
stickland,21,CDI,SRR10084780
stickland,2,Diarrhoea,SRR10084781
stickland,68,Diarrhoea,SRR10084783
stickland,36,Diarrhoea,SRR10084784
stickland,25,Diarrhoea,SRR10084785
stickland,56,Diarrhoea,SRR10084786
stickland,183,Healthy,SRR10084787
stickland,80,Diarrhoea,SRR10084788
stickland,233,Diarrhoea,SRR10084789
stickland,96,Diarrhoea,SRR10084790
stickland,143,CDI,SRR10084791
stickland,87,Diarrhoea,SRR10084792
stickland,7,Diarrhoea,SRR10084793
stickland,100,Diarrhoea,SRR10084794
stickland,55,Diarrhoea,SRR10084795
stickland,83,Diarrhoea,SRR10084796
stickland,164,Diarrhoea,SRR10084797
stickland,118,Healthy,SRR10084798
stickland,93,CDI,SRR10084799
stickland,62,CDI,SRR10084800
stickland,183,CDI,SRR10084801
stickland,49,CDI,SRR10084802
stickland,46,CDI,SRR10084803
stickland,157,CDI,SRR10084804
stickland,9,CDI,SRR10084805
stickland,13,CDI,SRR10084806
stickland,138,CDI,SRR10084807
stickland,106,CDI,SRR10084808
stickland,42,Healthy,SRR10084809
stickland,163,CDI,SRR10084810
stickland,184,CDI,SRR10084811
stickland,43,CDI,SRR10084812
stickland,92,CDI,SRR10084813
stickland,46,CDI,SRR10084814
stickland,146,CDI,SRR10084815
stickland,10,CDI,SRR10084816
stickland,15,CDI,SRR10084817
stickland,122,CDI,SRR10084818
stickland,93,CDI,SRR10084819
stickland,101,Healthy,SRR10084820
stickland,47,CDI,SRR10084821
stickland,43,CDI,SRR10084822
stickland,78,CDI,SRR10084823
stickland,68,CDI,SRR10084824
stickland,277,Healthy,SRR10084825
stickland,125,Healthy,SRR10084826
stickland,157,Healthy,SRR10084827
stickland,149,CDI,SRR13060009
stickland,110,CDI,SRR13060010
stickland,73,CDI,SRR13060011
stickland,71,CDI,SRR13060012
stickland,42,CDI,SRR13060013
stickland,71,CDI,SRR13060014
stickland,79,CDI,SRR13060015
stickland,88,CDI,SRR13060017
stickland,53,CDI,SRR13060018
stickland,94,Healthy,SRR13060019
stickland,131,CDI,SRR13060020
stickland,90,CDI,SRR13060021
stickland,70,CDI,SRR13060022
stickland,2,CDI,SRR13060023
stickland,90,CDI,SRR13060024
stickland,100,CDI,SRR13060025
stickland,122,CDI,SRR13060026
stickland,72,CDI,SRR13060027
stickland,74,CDI,SRR13060028
stickland,1,CDI,SRR13060029
stickland,82,Healthy,SRR13060030
stickland,47,CDI,SRR13060031
stickland,150,CDI,SRR13060032
stickland,49,CDI,SRR13060033
stickland,6,CDI,SRR13060034
stickland,5,CDI,SRR13060035
stickland,2,CDI,SRR13060036
stickland,127,CDI,SRR13060037
stickland,39,CDI,SRR13060038
stickland,105,CDI,SRR13060039
stickland,45,CDI,SRR13060040
stickland,116,Healthy,SRR13060041
stickland,136,CDI,SRR13060042
stickland,72,CDI,SRR13060043
stickland,173,CDI,SRR13060044
stickland,137,CDI,SRR13060045
stickland,16,CDI,SRR13060046
